school_id,student_id,study_time_in_hr,health,internet,country,year,marks
33-9516954,1,6,great,TRUE,India,2020,54
33-9516954,2,7,average,FALSE,India,2020,63
33-9516954,3,5,worst,FALSE,India,2020,45
45-0673066,4,6,bad,TRUE,Sweden,2020,54
02-6957378,5,4,good,FALSE,United States,2020,36
02-6957378,6,4,worst,FALSE,United States,2020,36
04-5597628,7,8,average,FALSE,Canada,2020,72
04-5597628,8,8,worst,FALSE,Canada,2020,72
02-6957378,9,6,average,FALSE,United States,2020,54
04-5597628,10,8,average,TRUE,Canada,2020,72
02-6957378,11,5,average,TRUE,United States,2020,45
45-0673066,12,4,great,TRUE,Sweden,2020,36
02-6957378,13,8,great,FALSE,United States,2020,72
45-0673066,14,4,bad,TRUE,Sweden,2020,36
02-6957378,15,5,great,TRUE,United States,2020,45
33-9516954,16,7,worst,TRUE,India,2020,63
04-5597628,17,7,worst,FALSE,Canada,2020,63
33-9516954,18,6,bad,TRUE,India,2020,54
04-5597628,19,4,great,FALSE,Canada,2020,36
33-9516954,20,5,good,TRUE,India,2020,45
02-6957378,21,5,good,TRUE,United States,2020,45
45-0673066,22,8,bad,FALSE,Sweden,2020,72
02-6957378,23,4,average,TRUE,United States,2020,36
02-6957378,24,6,worst,TRUE,United States,2020,54
04-5597628,25,6,average,TRUE,Canada,2020,54
04-5597628,26,7,great,FALSE,Canada,2020,63
04-5597628,27,8,worst,TRUE,Canada,2020,72
45-0673066,28,7,worst,FALSE,Sweden,2020,63
04-5597628,29,8,bad,FALSE,Canada,2020,72
45-0673066,30,5,good,TRUE,Sweden,2020,45
02-6957378,31,4,worst,FALSE,United States,2020,36
33-9516954,32,4,good,FALSE,India,2020,36
04-5597628,33,4,great,FALSE,Canada,2020,36
33-9516954,34,8,average,FALSE,India,2020,72
02-6957378,35,8,bad,TRUE,United States,2020,72
02-6957378,36,4,bad,TRUE,United States,2020,36
04-5597628,37,6,worst,TRUE,Canada,2020,54
33-9516954,38,7,great,TRUE,India,2020,63
45-0673066,39,8,average,FALSE,Sweden,2020,72
33-9516954,40,6,bad,TRUE,India,2020,54
33-9516954,41,5,worst,FALSE,India,2020,45
02-6957378,42,7,good,FALSE,United States,2020,63
45-0673066,43,4,bad,TRUE,Sweden,2020,36
45-0673066,44,8,worst,FALSE,Sweden,2020,72
33-9516954,45,5,worst,FALSE,India,2020,45
33-9516954,46,4,good,TRUE,India,2020,36
02-6957378,47,5,worst,TRUE,United States,2020,45
45-0673066,48,8,average,FALSE,Sweden,2020,72
04-5597628,49,5,good,TRUE,Canada,2020,45
04-5597628,50,8,good,TRUE,Canada,2020,72
45-0673066,51,8,good,FALSE,Sweden,2020,72
04-5597628,52,4,bad,TRUE,Canada,2020,36
33-9516954,53,5,average,TRUE,India,2020,45
33-9516954,54,6,worst,FALSE,India,2020,54
04-5597628,55,4,good,FALSE,Canada,2020,36
02-6957378,56,7,bad,TRUE,United States,2020,63
04-5597628,57,7,bad,FALSE,Canada,2020,63
04-5597628,58,8,great,TRUE,Canada,2020,72
33-9516954,59,4,worst,FALSE,India,2020,36
33-9516954,60,4,great,TRUE,India,2020,36
45-0673066,61,5,good,FALSE,Sweden,2020,45
02-6957378,62,6,average,TRUE,United States,2020,54
02-6957378,63,4,good,TRUE,United States,2020,36
45-0673066,64,6,great,FALSE,Sweden,2020,54
04-5597628,65,8,worst,FALSE,Canada,2020,72
45-0673066,66,8,bad,FALSE,Sweden,2020,72
04-5597628,67,6,good,TRUE,Canada,2020,54
33-9516954,68,6,worst,TRUE,India,2020,54
02-6957378,69,7,worst,FALSE,United States,2020,63
33-9516954,70,7,bad,FALSE,India,2020,63
45-0673066,71,7,good,FALSE,Sweden,2020,63
33-9516954,72,5,bad,TRUE,India,2020,45
45-0673066,73,4,bad,FALSE,Sweden,2020,36
45-0673066,74,7,good,FALSE,Sweden,2020,63
04-5597628,75,5,worst,TRUE,Canada,2020,45
45-0673066,76,7,average,FALSE,Sweden,2020,63
45-0673066,77,8,great,FALSE,Sweden,2020,72
02-6957378,78,5,worst,TRUE,United States,2020,45
33-9516954,79,4,average,TRUE,India,2020,36
33-9516954,80,7,average,FALSE,India,2020,63
33-9516954,81,4,bad,TRUE,India,2020,36
02-6957378,82,8,bad,FALSE,United States,2020,72
33-9516954,83,8,good,TRUE,India,2020,72
02-6957378,84,7,good,TRUE,United States,2020,63
04-5597628,85,4,good,TRUE,Canada,2020,36
45-0673066,86,5,average,FALSE,Sweden,2020,45
04-5597628,87,5,average,TRUE,Canada,2020,45
02-6957378,88,8,worst,FALSE,United States,2020,72
45-0673066,89,8,worst,FALSE,Sweden,2020,72
45-0673066,90,6,great,FALSE,Sweden,2020,54
45-0673066,91,7,worst,FALSE,Sweden,2020,63
04-5597628,92,4,bad,TRUE,Canada,2020,36
02-6957378,93,4,bad,FALSE,United States,2020,36
02-6957378,94,5,good,TRUE,United States,2020,45
45-0673066,95,7,worst,TRUE,Sweden,2020,63
33-9516954,96,7,great,FALSE,India,2020,63
45-0673066,97,5,great,FALSE,Sweden,2020,45
33-9516954,98,7,average,FALSE,India,2020,63
33-9516954,99,6,good,FALSE,India,2020,54
33-9516954,100,5,average,FALSE,India,2020,45
45-0673066,101,8,average,FALSE,Sweden,2020,72
33-9516954,102,4,great,FALSE,India,2020,36
45-0673066,103,8,good,FALSE,Sweden,2020,72
45-0673066,104,4,worst,TRUE,Sweden,2020,36
04-5597628,105,5,good,FALSE,Canada,2020,45
33-9516954,106,5,great,FALSE,India,2020,45
02-6957378,107,4,great,TRUE,United States,2020,36
04-5597628,108,8,bad,TRUE,Canada,2020,72
45-0673066,109,6,worst,TRUE,Sweden,2020,54
45-0673066,110,5,worst,TRUE,Sweden,2020,45
33-9516954,111,7,good,FALSE,India,2020,63
45-0673066,112,4,good,TRUE,Sweden,2020,36
02-6957378,113,6,bad,FALSE,United States,2020,54
33-9516954,114,6,average,TRUE,India,2020,54
04-5597628,115,6,bad,FALSE,Canada,2020,54
33-9516954,116,5,average,TRUE,India,2020,45
45-0673066,117,4,great,FALSE,Sweden,2020,36
02-6957378,118,4,bad,FALSE,United States,2020,36
04-5597628,119,4,worst,FALSE,Canada,2020,36
04-5597628,120,4,great,FALSE,Canada,2020,36
33-9516954,121,7,worst,TRUE,India,2020,63
02-6957378,122,6,worst,FALSE,United States,2020,54
02-6957378,123,4,bad,FALSE,United States,2020,36
33-9516954,124,5,worst,TRUE,India,2020,45
02-6957378,125,4,worst,TRUE,United States,2020,36
02-6957378,126,7,average,TRUE,United States,2020,63
33-9516954,127,8,worst,FALSE,India,2020,72
45-0673066,128,8,worst,TRUE,Sweden,2020,72
33-9516954,129,5,bad,FALSE,India,2020,45
04-5597628,130,5,worst,TRUE,Canada,2020,45
04-5597628,131,8,good,TRUE,Canada,2020,72
45-0673066,132,5,great,TRUE,Sweden,2020,45
02-6957378,133,8,good,TRUE,United States,2020,72
45-0673066,134,5,average,TRUE,Sweden,2020,45
45-0673066,135,4,good,FALSE,Sweden,2020,36
02-6957378,136,6,average,TRUE,United States,2020,54
04-5597628,137,5,worst,TRUE,Canada,2020,45
33-9516954,138,6,bad,FALSE,India,2020,54
02-6957378,139,5,average,FALSE,United States,2020,45
45-0673066,140,4,good,FALSE,Sweden,2020,36
33-9516954,141,6,great,TRUE,India,2020,54
02-6957378,142,5,good,FALSE,United States,2020,45
45-0673066,143,5,bad,FALSE,Sweden,2020,45
33-9516954,144,4,average,FALSE,India,2020,36
04-5597628,145,4,average,FALSE,Canada,2020,36
45-0673066,146,6,great,FALSE,Sweden,2020,54
04-5597628,147,6,average,TRUE,Canada,2020,54
02-6957378,148,5,worst,FALSE,United States,2020,45
04-5597628,149,6,worst,TRUE,Canada,2020,54
02-6957378,150,6,bad,TRUE,United States,2020,54
45-0673066,151,6,average,TRUE,Sweden,2020,54
45-0673066,152,4,good,FALSE,Sweden,2020,36
33-9516954,153,5,great,TRUE,India,2020,45
02-6957378,154,8,worst,FALSE,United States,2020,72
45-0673066,155,6,bad,TRUE,Sweden,2020,54
33-9516954,156,8,bad,TRUE,India,2020,72
45-0673066,157,5,average,TRUE,Sweden,2020,45
04-5597628,158,7,good,TRUE,Canada,2020,63
45-0673066,159,7,average,FALSE,Sweden,2020,63
04-5597628,160,6,average,FALSE,Canada,2020,54
45-0673066,161,7,good,TRUE,Sweden,2020,63
33-9516954,162,8,bad,TRUE,India,2020,72
04-5597628,163,7,bad,FALSE,Canada,2020,63
02-6957378,164,8,bad,TRUE,United States,2020,72
04-5597628,165,4,bad,TRUE,Canada,2020,36
04-5597628,166,4,good,TRUE,Canada,2020,36
45-0673066,167,4,worst,TRUE,Sweden,2020,36
04-5597628,168,7,great,TRUE,Canada,2020,63
45-0673066,169,7,bad,FALSE,Sweden,2020,63
45-0673066,170,8,good,FALSE,Sweden,2020,72
33-9516954,171,5,great,FALSE,India,2020,45
45-0673066,172,8,average,TRUE,Sweden,2020,72
33-9516954,173,6,great,TRUE,India,2020,54
02-6957378,174,4,bad,TRUE,United States,2020,36
04-5597628,175,5,average,FALSE,Canada,2020,45
45-0673066,176,5,worst,FALSE,Sweden,2020,45
45-0673066,177,5,worst,FALSE,Sweden,2020,45
02-6957378,178,5,good,TRUE,United States,2020,45
33-9516954,179,5,bad,TRUE,India,2020,45
04-5597628,180,8,average,FALSE,Canada,2020,72
45-0673066,181,8,good,TRUE,Sweden,2020,72
45-0673066,182,5,average,TRUE,Sweden,2020,45
02-6957378,183,4,average,FALSE,United States,2020,36
04-5597628,184,5,average,FALSE,Canada,2020,45
45-0673066,185,4,good,TRUE,Sweden,2020,36
45-0673066,186,6,good,TRUE,Sweden,2020,54
45-0673066,187,4,bad,TRUE,Sweden,2020,36
02-6957378,188,5,great,TRUE,United States,2020,45
02-6957378,189,4,average,FALSE,United States,2020,36
45-0673066,190,6,worst,TRUE,Sweden,2020,54
45-0673066,191,8,bad,FALSE,Sweden,2020,72
45-0673066,192,4,worst,TRUE,Sweden,2020,36
33-9516954,193,5,good,TRUE,India,2020,45
02-6957378,194,6,average,TRUE,United States,2020,54
04-5597628,195,5,good,FALSE,Canada,2020,45
